Retailer ,Stock Code,Category ,Stock Desc,Eye shape 1,AR Filter URL (Dev only,Boots URL
Boots,70578K,3/4 Length  ,3/4 Length No.018,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=70578K,https://www.boots.com/eylure-three-quarter-length-lash-no-018-10331072
Superdrug ,70579K,3/4 Length  ,3/4 Length No.024,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=70579K,
Superdrug ,70696K,3/4 Length  ,3/4 Length No.025,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=70696K,
Superdrug ,70890K,3/4 Length  ,3/4 Length No.028,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=70890K,
Boots,70693K,3/4 Length  ,3/4 Length No.030,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=70693K,https://www.boots.com/eylure-34-length-030-10338121
Boots,70873K,Clusters ,Brown/Black Cluster- Naturals No.5,All,,https://www.boots.com/eylure-brown-black-cluster-naturals-no5-and-lash-adhesive-1ml-10352681
Boots,70923K,Clusters ,Cluster- Dramatic No.12,All,,https://www.boots.com/eylure-clusters-dramatic-no-12-10365288
Superdrug ,70941K,Clusters ,Cluster- Flutter No.2,All,,
Superdrug ,70893K,Clusters ,Cluster Lash-  Flirty No.8,All,,
Boots,70874K,Clusters ,Cluster Lash- Fluttery No.6,All,,https://www.boots.com/eylure-clusters-fluttery-no6-false-lashes-10352682
Superdrug ,70942K,Clusters ,Cluster- Voluminous No.10,All,,
Boots,70922K,Clusters ,Cluster-Flutter No.4,All,,https://www.boots.com/eylure-clusters-flutter-no-4-10365289
Superdrug ,70774K,Clusters ,Clusters - Brown/Black,All,,
Boots,70772K,Clusters ,Clusters - Fluffy,All,,https://www.boots.com/eylure-clusters-fluffy-lashes-10345452
Superdrug ,70775K,Clusters ,Clusters - Lengthening,All,,
Boots ,70773K,Clusters ,Clusters - Wispy,All,,https://www.boots.com/eylure-clusters-wispy-lashes-10345453
Boots ,70469K,Clusters ,Faux Mink Clusters,All,,https://www.boots.com/eylure-fauxmink-individual-lashes-10327480
Boots,70875K,Clusters ,Faux Mink Clusters- Volume No.01,All,,https://www.boots.com/eylure-faux-mink-clusters-volume-01-false-lashes-pair-and-lash-adhesive-1ml-10352683
Superdrug ,70701K,Clusters ,Clusters- Definition,All,,
Boots,70700K,Clusters ,Clusters- Volume,All,,https://www.boots.com/eylure-individuals---volume--10338123
Superdrug ,70894K,Clusters ,Luxe 3D Clusters- Dramatic No.03,All,,
Boots,70629K,Clusters ,Volume & Curl Clusters,All,,https://www.boots.com/eylure-extreme-curl-clusters-10331077
Superdrug ,70793K,Clusters ,Volume & Curl Dramatic Clusters,All,,
Superdrug ,70685K,Clusters ,Volume & Curl Trio's Clusters,All,,
Boots,70791K,Clusters ,Volume & Curl Voluminous Clusters,All,,No on boots site - tiff said gone
Superdrug ,70538K,Clusters ,Luxe 3D Clusters,All,,
Boots,70957K,Faux Mink ,Faux Mink- Emerald,"Almond, Hooded, Downturned ",https://www.eylure.co.uk/try-on/?range=faux_mink&product=70957K,https://www.boots.com/eylure-faux-mink-emerald--10365290
Superdrug ,70956K,Faux Mink ,Faux Mink- Opal,"Almond, Hooded, Downturned ",https://www.eylure.co.uk/try-on/?range=faux_mink&product=70956K,
Superdrug ,6001970N,Full & Wispy ,Full & Wispy 175,"Almond, Round, Hooded, Upturned",https://www.eylure.co.uk/try-on/?range=full_&_wispy&product=6001970N,
Superdrug ,70614K,Full & Wispy ,Full & Wispy No 186,"Almond, Hooded, Downturned",https://www.eylure.co.uk/try-on/?range=full_&_wispy&product=70614K,
Boots,70613K,Full & Wispy ,Full & Wispy No.184,"Almond, Hooded, Downturned ",https://www.eylure.co.uk/try-on/?range=full_&_wispy&product=70613K,https://www.boots.com/eylure-shorter-lash-band-no-184-10331080
Boots,70919K,Full & Wispy ,Full & Wispy No.187,"Almond, Hooded, Downturned",https://www.eylure.co.uk/try-on/?range=full_&_wispy&product=70919K,https://www.boots.com/eylure-fully-and-wispy-no-187-10365291
Boots,70916K,Half Lash ,Half lash No.3,"Downturned, Hooded, Almond ",https://www.eylure.co.uk/try-on/?range=half_lash&product=70916K,https://www.boots.com/eylure-half-lash-no-3-10365292
Boots,70876K,Half Lash ,Half Lash No.5,"Almond, Round, Monolid",https://www.eylure.co.uk/try-on/?range=half_lash&product=70876K,https://www.boots.com/eylure-half-lash-no5-false-lashes-pair-and-lash-adhesive-1ml-10352568
Boots,70889K,Half Lash ,Half Lash No.7,"Downturned, Hooded, Almond ",https://www.eylure.co.uk/try-on/?range=half_lash&product=70889K,https://www.boots.com/eylure-half-lash-no7-false-lashes-pair-and-lash-adhesive-1ml-10352567
